Subject,Group,Age,Gender,StandardProblem,CBType,StandardAcc,StandardResp,ControlAcc,ControlResp,StandardRT,ControlRT,StandardConfidence,ControlConfidence,StandardOpinion,ControlOpinion,StandardRecall,ControlRecall,StandardMC,ControlMC,LogStandardRT,LogControlRT,LogRTdiff,Confdiff,Opindiff
271,MTurk1,19,Female,PE,1a,1,0.05,1,0.9,27.544,108.551,1,1,0.4,0.95,1,0,1,0,1.455514833,2.039616346,-0.584101514,0,-0.55
272,MTurk1,19,Female,BM,1b,0,0.9,1,0.1,43.882,57.968,1,1,0.9,0.9,0,1,0,1,1.652072201,1.770616398,-0.118544197,0,0
273,MTurk1,20,Male,BM,2a,0,0.9,1,0.1,235.044,79.146,0.65,0.75,0.45,0.45,1,1,1,1,2.372992966,1.903881852,0.469111114,-0.1,0
274,MTurk1,18,Female,PE,2b,0,0.1,0,0.8,63.428,32.165,0.99,0.99,0.85,0.9,1,0,0,0,1.80907465,1.520680002,0.288394648,0,-0.05
275,MTurk1,19,Male,BM,1b,1,0.45,1,0.1,88.392,22.18,1,1,0.2,1,1,0,1,0,1.951298654,1.365113432,0.586185222,0,-0.8
276,MTurk1,21,Male,BM,1b,0,0.9,1,0.1,37.017,14.948,0.95,1,0.9,1,1,0,1,0,1.579977843,1.202706227,0.377271616,-0.05,-0.1
277,MTurk1,20,Female,BM,1b,0,0.9,1,0.1,95.043,15.532,0,1,1,0.5,1,0,1,0,1.982465717,1.218325397,0.764140321,-1,0.5
278,MTurk1,20,Male,BM,1b,1,0.45,1,0.1,10.243,33.343,1,1,0.6,0.2,1,0,1,0,1.050882211,1.53583823,-0.484956019,0,0.4
279,MTurk1,19,Male,BM,1b,0,0.9,1,0.1,293.076,15.312,0.1,1,0.85,0.4,1,0,1,0,2.468459583,1.212507213,1.25595237,-0.9,0.45
280,MTurk1,21,Female,BM,2a,0,0.9,1,0.1,11.28,8.48,1,1,0.85,0.85,1,0,1,1,1.089198367,0.976808337,0.112390029,0,0
281,MTurk1,19,Female,PE,1a,1,0.05,1,0.9,12.984,10.227,1,1,0.88,0.88,1,NA,1,1,1.145631415,1.050263723,0.095367693,0,0
282,MTurk1,21,Male,PE,1a,1,0.05,1,0.9,23.673,20.63,1,1,0.9,0.95,1,0,1,0,1.392221959,1.335056519,0.057165439,0,-0.05
283,MTurk1,29,Male,BM,1b,1,0.45,1,0.1,147.064,50.771,1,1,0.2,1,1,0,1,0,2.170449478,1.714086554,0.456362924,0,-0.8
284,MTurk1,24,Male,BM,1b,0,0.9,1,0.1,51.926,71.38,1,1,0.98,0.99,1,NA,1,0,1.723669072,1.859618579,-0.135949506,0,-0.01
285,MTurk1,30,Male,PE,2b,0,0.1,1,0.9,7.692,119.872,1,1,0.99,0.99,NA,NA,1,0,0.939119718,2.082325708,-1.143205991,0,0
286,MTurk1,40,Female,PE,1a,1,0.05,1,0.9,9.339,9.246,1,1,0.7,0.6,1,0,1,0,1.014478535,1.010554352,0.003924184,0,0.1
287,MTurk1,37,Male,PE,2b,0,0.1,1,0.9,18.258,16.067,0.7,1,0.8,0.95,1,NA,1,0,1.284611182,1.232157188,0.052453994,-0.3,-0.15
288,MTurk1,28,Male,PE,1a,0,0.1,1,0.9,34.929,24.733,1,1,1,1,1,NA,1,0,1.55544513,1.41049042,0.14495471,0,0
289,MTurk1,29,Male,PE,1a,1,0.05,1,0.9,19.396,13.24,0.95,1,0.75,0.95,1,0,1,0,1.309545003,1.153509989,0.156035014,-0.05,-0.2
290,MTurk1,29,Female,BM,2a,0,0.9,1,0.1,11.252,6.943,1,1,0.75,0.9,NA,NA,0,1,1.088206988,0.899984563,0.188222426,0,-0.15
291,MTurk1,24,Male,PE,2b,0,0.1,1,0.9,6.474,9.899,1,1,0.97,0.95,0,0,1,1,0.873553094,1.037386653,-0.163833559,0,0.02
292,MTurk1,42,Female,BM,2a,0,0.9,1,0.1,23.421,4.146,0.45,0.45,0.6,0.55,NA,NA,1,0,1.387763444,0.711469782,0.676293662,0,0.05
293,MTurk1,24,Male,PE,2b,0,0.1,1,0.9,26.854,13.172,1,1,0.8,0.75,1,0,1,1,1.444887571,1.151431144,0.293456428,0,0.05
294,MTurk1,41,Female,BM,2a,1,0.45,1,0.1,389.875,18.118,0.95,0.95,0.25,0.75,1,0,1,0,2.592037894,1.281442457,1.310595437,0,-0.5
295,MTurk1,21,Male,PE,2b,1,0.05,1,0.9,9.557,16.752,1,1,1,0.2,1,1,1,0,1.023540522,1.249247289,-0.225706768,0,0.8
296,MTurk1,23,Female,BM,2a,1,0.45,1,0.1,81.579,26.546,0.99,0.99,0.85,0.95,1,0,1,0,1.916869619,1.440058543,0.476811076,0,-0.1
